,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.19783816,69.41278546,0,,,26.38502579,5.318233156,70.86327682,46.61288851,77.86363434,67.42057586,19.92410528,40.53349649,52.29224989,15.09325226,12.68384689,22.9935581,,,75.87884079,66.25258572,53.62525346,59.2075099,83.90576833,33.01785586,30.62890971,90.55744332,,,80.26980261,69.09447358,12.27404139,31.62932558,38.84651163,9.987929994,8.414839798,13.33333333,0,0,25.94536774,26.04524046,0.53061085,0.546066087,0.039165787,0.045363147,0.029576759,0.000289503,0.000301499,0.000349735
1,AL-VarUncertainty-LB-b0.2-,0.200482754,75.37178542,0,,,30.7751801,4.618383458,74.68163931,53.6750486,82.18756243,70.4708181,25.28749313,45.51990872,65.89155299,30.50709169,15.70439832,17.96410631,,,78.00069815,71.65583694,51.53648802,58.08075406,87.16124683,44.49027913,28.95519696,87.50053019,,,86.85249539,69.32818912,16.7625279,37.44142295,53.04186047,23.27700664,10.84317032,10.20512821,0,0,24.61089019,20.07170383,0.787850625,0.584394944,0.030920995,0.058486316,0.038851953,0.000325691,0.00014472,0.000265316
2,AL-RandVarUncertainty-LB-b0.2-,0.200482874,76.22452736,0,,,29.9293204,4.845021241,73.48035036,51.42521344,81.36085345,68.72468547,23.82197829,44.50597795,59.48215176,21.52402953,16.65450538,26.79637768,,,76.57570386,70.8296211,49.17131475,55.42171836,78.25146328,34.76806271,22.68617551,87.97724224,,,86.79365431,66.75506384,15.72529925,37.20483439,47.98449612,15.70307785,13.22934233,15.8974359,0,0,26.68708527,20.12381599,0.812440093,0.648645985,0.052059624,0.059561788,0.065530214,0.000518693,0.000361799,0.000192957
3,AL-SelSampling-LB-b0.2-,0.200092137,76.17908344,0,,,30.00083128,4.844550223,73.53279844,51.50127144,81.3193493,68.7372705,24.87839519,45.59844995,61.27141775,22.57467853,16.31681601,25.99655577,,,76.39367705,71.03959764,49.84570641,57.63497195,83.37092104,39.96445421,24.54814002,87.30362136,,,86.93167215,66.58992198,16.58018868,37.74471239,48.51472868,15.84188292,12.3693086,15.43589744,0,0,26.99747386,19.86891546,0.833433574,0.601889954,0.038645191,0.048456638,0.055011081,0.000603132,0.000747718,0.000325615
4,AL-FixedUncertainty-BOLE-b0.2-,0.098839847,55.03249289,0,,,15.44111252,8.901691626,48.94725163,10.69366726,33.39954306,58.93605102,14.49158735,18.54923244,15.76596893,8.907365279,4.970989525,,,,66.74558077,46.23284229,49.59118208,83.18885239,79.65303899,39.33457371,30.80798221,,,,25.32967853,84.07592473,8.998782715,10.84487772,12.98604651,5.111647556,2.807757167,4.256410256,0,0,13.28020789,74.01627069,0.499297896,0.059125742,1.136740051,0.016119989,0.008804188,0.000301566,4.82E-05,0
5,AL-VarUncertainty-BOLE-b0.2-,0.200482995,74.98328387,0,,,31.35105741,4.755574281,73.44015504,52.113041,80.60081198,69.35519621,38.40894126,49.1501547,68.79563562,22.70285135,17.76248659,14.18548757,,,78.3615303,69.58852888,45.71614064,71.47038221,91.83694312,40.44440758,33.35321792,91.98820787,,,82.98628726,69.14338548,33.15099412,37.46422667,55.05426357,15.81774291,12.15008432,7.743589744,0,0,23.04371789,22.11909561,1.967739934,0.323608407,0.019092564,0.047006564,0.03502352,0.000168877,0.000168839,0.000120598
6,AL-RandVarUncertainty-BOLE-b0.2-,0.200482633,75.82993792,0,,,31.63761295,4.764870896,73.27157107,51.94466673,80.57335195,69.04069852,38.96513249,50.54097998,69.36508852,16.45210462,17.38940223,20.65221131,,,78.44656555,69.43133774,44.39600258,69.38173719,92.49902205,32.07954852,31.21650907,93.34248907,,,82.82304838,68.6608585,34.73676202,39.75657032,55.5255814,11.09837055,12.08263069,11.69230769,0,0,22.86381821,22.12751292,2.173584934,0.379740285,0.017688165,0.04711532,0.038248099,0.000205065,0.000627118,0.000168838
7,AL-SelSampling-BOLE-b0.2-,0.200365412,76.47191926,0,,,31.33947536,4.792962852,73.15267348,51.68386105,80.39743371,69.01038118,38.23576062,50.39557931,68.93223736,17.17847814,17.50518605,18.26995007,,,78.33417722,69.20197912,44.56594658,70.11122722,92.73597779,33.19703889,31.48639703,87.82240606,,,82.57714319,68.823004,33.59961453,39.35693518,54.86821705,11.63548582,12.17537943,10.35897436,0,0,22.95023871,22.41827581,2.093561535,0.362922899,0.016804362,0.047767853,0.038380947,0.000325691,0.001097457,0.000253256
8,AL-FixedUncertainty-DACC-b0.2-,0.002073683,50.65067562,0,,,11.17927097,9.450237566,46.85414031,5.199579949,35.88608577,56.3210567,0.097803915,1.487817223,4.983224579,2.762446149,,,,,57.95433871,43.74262586,59.91926703,61.68178634,99.82940693,3.13337342,,,,,26.54192517,79.31540468,0.048945019,0.798130095,2.613953488,2.474351237,0,0,0,0,19.48918837,74.74408647,0.001696699,0.114493754,3.63E-05,0.152874047,0,0,0,0
9,AL-VarUncertainty-DACC-b0.2-,0.200482874,67.2264594,0,,,30.31941527,4.785158422,73.42105231,51.84305398,80.80555007,69.27853739,32.11415023,52.32104435,62.23844719,10.0988759,18.60433805,25.47586861,,,77.87023765,69.8475381,43.93144723,71.19894111,93.10832722,11.61979158,30.95035387,95.08840108,,,83.97094285,68.7188736,25.30787178,41.36024172,46.77209302,8.955944478,13.33895447,14.76923077,0,0,23.97036321,21.71278784,1.612585452,0.361863342,0.013644464,0.136911149,0.043115161,0.000205065,4.82E-05,6.03E-05
