,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),F1 Score for class 10 (percent),F1 Score for class 11 (percent),F1 Score for class 12 (percent),F1 Score for class 13 (percent),F1 Score for class 14 (percent),F1 Score for class 15 (percent),F1 Score for class 16 (percent),F1 Score for class 17 (percent),F1 Score for class 18 (percent),F1 Score for class 19 (percent),F1 Score for class 20 (percent),F1 Score for class 21 (percent),F1 Score for class 22 (percent),F1 Score for class 23 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Precision for class 10 (percent),Precision for class 11 (percent),Precision for class 12 (percent),Precision for class 13 (percent),Precision for class 14 (percent),Precision for class 15 (percent),Precision for class 16 (percent),Precision for class 17 (percent),Precision for class 18 (percent),Precision for class 19 (percent),Precision for class 20 (percent),Precision for class 21 (percent),Precision for class 22 (percent),Precision for class 23 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),Recall for class 10 (percent),Recall for class 11 (percent),Recall for class 12 (percent),Recall for class 13 (percent),Recall for class 14 (percent),Recall for class 15 (percent),Recall for class 16 (percent),Recall for class 17 (percent),Recall for class 18 (percent),Recall for class 19 (percent),Recall for class 20 (percent),Recall for class 21 (percent),Recall for class 22 (percent),Recall for class 23 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent),FalseAlarmRate for class10 (percent),FalseAlarmRate for class11 (percent),FalseAlarmRate for class12 (percent),FalseAlarmRate for class13 (percent),FalseAlarmRate for class14 (percent),FalseAlarmRate for class15 (percent),FalseAlarmRate for class16 (percent),FalseAlarmRate for class17 (percent),FalseAlarmRate for class18 (percent),FalseAlarmRate for class19 (percent),FalseAlarmRate for class20 (percent),FalseAlarmRate for class21 (percent),FalseAlarmRate for class22 (percent),FalseAlarmRate for class23 (percent)
0,AL-FixedUncertainty-LB-b0.2-,0.213378776,76.04346377,7.568651586,15.31435908,14.44020674,16.30375707,3.638965068,16.30379578,12.66483558,31.18938641,27.77272907,19.93105053,20.75004007,23.75717015,8.717120685,10.91287879,3.775038895,2.312923349,9.114588379,12.84338721,10.14065397,7.007587373,2.76847529,1.513313356,1.554846984,1.250468312,1.653677281,8.252108439,13.27098171,12.93599047,12.7746136,25.69119595,30.91165026,21.40397767,20.83490911,15.8628646,18.58236035,18.12846409,14.4624252,16.06162128,18.22674365,13.49784483,12.77444815,14.64669592,11.95995006,9.278013403,9.654313953,12.29314251,9.26442142,7.161848942,14.08603492,13.64983321,14.51499832,10.73439929,8.780776547,18.03303593,22.67183839,57.4659182,41.64394547,26.840417,23.56054531,34.49879711,6.287089014,8.293269231,2.109061748,1.267040898,7.134831461,11.50761828,8.885324779,5.701684042,1.627906977,0.809943865,0.850040096,0.689655172,0.882117081,5.926222935,12.29350441,16.33520449,23.44025662,44.66720128,48.57257418,9.17610962,6.881907883,6.193298699,4.496356473,6.778006346,1.620933719,1.880404463,0.409678881,0.358425438,2.109685517,2.925281545,2.866357519,2.442383459,0.659321502,0.255221227,0.36226073,0.371325965,0.231860814,1.627209651,3.152609742,5.91471706,10.58958893,8.829538719,7.202677731
1,AL-VarUncertainty-LB-b0.2-,0.21336541,74.65445648,9.569774976,14.82183125,14.33045849,15.35220052,3.680317933,15.35284683,11.67237015,24.50724622,22.1012485,18.79026076,22.46341665,21.57288184,15.76694913,20.03728865,18.0192367,11.92835973,13.90453614,9.637484133,7.715298779,7.194697907,4.021249856,2.188300225,3.803319917,1.886410715,2.355027059,4.353749213,9.665425152,9.399602679,12.9334095,21.69576231,29.57163534,21.15406885,20.45640544,17.46087641,20.17715679,19.7758123,15.2320095,14.23759923,13.39821208,8.374746321,13.16632436,16.16517514,14.07639667,9.918100193,9.217038312,12.24406889,11.99242701,8.470184245,9.405459407,10.16744342,15.24213229,10.84592889,11.23680898,18.1042808,23.41234814,29.478749,24.14595028,20.64955894,26.04651163,24.44266239,16.89655172,34.35096154,27.70649559,21.25902165,15.00802568,7.048917402,5.412991179,5.693664796,2.630312751,1.218925421,2.365677626,1.082598236,1.371291099,2.854851644,7.297514034,8.412189254,15.34883721,27.14514836,40.58540497,4.779819393,4.092953523,4.294480667,4.511348977,4.364213242,4.091907535,9.052998605,7.809002476,10.22942017,4.285614671,1.588159409,1.435793731,2.233185733,1.138035633,0.385969806,0.770893623,0.488825355,0.559603919,1.014957637,1.786548586,3.01314459,5.285729228,5.335936683,5.779087201
2,AL-RandVarUncertainty-LB-b0.2-,0.213372093,75.18138905,9.464780745,15.09402828,14.13460723,16.19413994,3.643731466,16.19419941,12.55044645,30.4422617,26.51301904,18.51807089,22.04615279,23.4274983,13.46814766,11.85176264,9.973699832,6.922371163,10.72487002,12.16022428,12.40130295,6.866266936,4.441536288,3.055088849,2.756561274,2.022464261,1.648610846,5.674514504,10.92917799,12.87340035,13.15595505,25.37670995,30.00249351,21.50106162,20.51295363,16.23522545,19.33429175,19.31519927,15.28341264,13.31101196,16.89255198,10.10191033,13.89995599,14.91214483,12.52088667,9.666217957,9.752319135,11.13531132,9.643022237,7.627529603,9.477424674,11.79767389,14.54712349,11.52349577,9.461297252,18.28093659,22.49761552,52.30152366,37.74659182,22.15717723,26.43945469,30.58540497,12.35765838,11.11378205,7.145148356,5.340817963,9.333868379,10.61748196,12.99919808,5.653568565,2.959101844,1.812349639,1.643945469,1.17882919,0.914194066,3.841218925,8.941459503,14.69125902,21.80433039,41.66800321,45.41299118,8.294341201,6.388898574,4.987273805,4.77947073,5.595690527,3.01070395,3.193863319,1.58223214,2.076287438,2.501917579,2.674592936,3.990097974,2.428088281,1.192775705,0.634915101,0.64084237,0.606673407,0.382483177,1.271224853,2.262124752,4.928001116,9.112304313,8.097346675,6.817405251
3,AL-SelSampling-LB-b0.2-,0.213368752,75.08424278,9.438114907,15.0657783,14.16966573,16.0875484,3.648365099,16.08761026,12.43923648,30.02523848,25.72402354,18.00642622,21.83896597,23.61737778,12.46202807,12.6857849,7.133791676,5.034955961,11.10284862,13.86158686,10.32926669,7.663730733,5.211377676,3.996111778,2.620263451,1.980095223,2.267942776,5.462614414,10.89378289,12.39074912,13.05424413,25.30895819,30.03011635,21.20286147,19.76918518,15.40699577,18.96685152,19.25945796,14.44686631,14.45179298,17.34876036,9.950476441,13.61527212,14.68327983,12.08932472,9.551713819,10.1340048,11.98019192,10.31569652,9.126260635,9.444913263,13.19412981,13.62339286,11.70271537,9.456948242,17.87784513,22.47304041,51.53969527,37.00882117,22.22133119,26.60785886,30.7457899,11.24298316,11.5625,4.554931836,3.408179631,9.711075441,13.74498797,9.703287891,6.712109062,3.584603047,2.461908581,1.531676022,1.154771451,1.307137129,3.568564555,9.743384122,13.73696872,21.29109864,43.55252606,45.40497193,8.325372198,6.515811862,5.320944179,4.9600781,5.60336111,2.890415257,2.958856346,0.958125588,1.367107144,2.733073007,3.62609393,3.137617238,2.750252781,1.401624769,0.780656184,0.550887347,0.479062794,0.560301245,1.072138349,2.608346989,4.575851609,8.861615704,8.707855375,6.815313274
4,AL-FixedUncertainty-BOLE-b0.2-,0.213378776,65.89166084,,,,5.159062871,4.123519363,5.159048383,1.035535535,8.370158809,,3.475197672,,,,,,,,,,,,,,,,,,,,,,4.376180045,11.04751033,14.6611856,,,,11.2253194,6.249150097,3.345238095,4.148125997,,12.24389394,,,,,,,15.91269841,,2.207205906,7.333754396,17.67428142,20.41384618,96.80834002,4.450681636,2.461908581,4.033680834,1.034482759,0.016038492,0.136217949,0.096230954,0.024057739,0.569823435,0.858059342,2.461908581,,,0.024057739,0.024057739,0.008019246,0.040096231,0.080192462,0.23255814,0.288692863,1.900561347,3.977546111,4.290296712,92.54349569,0.751019839,0.514975071,0.723824134,0.176423416,0.025801053,0.039051604,0.036609602,0.02057111,0.226622969,0.328789094,0.712318259,0.017433144,0.007670583,0.010459886,0.011505875,0.013597852,0.008367909,0.02057111,0.033820299,0.158990272,1.135594993,0.807154562,0.639796381
5,AL-VarUncertainty-BOLE-b0.2-,0.209158647,66.02894393,,,,5.639887531,4.102614047,5.639869019,1.537263032,8.555578774,,5.098266922,,,,,,,,,,,,,,,,,,,,,,4.480358192,12.1642861,16.08211348,,,,13.02384544,7.642333671,5.05952381,5.626477849,,10.39995572,,,,,2.159090909,,15.91269841,,6.897346301,8.076784572,18.15143793,21.40889306,96.0064154,6.094627105,4.025661588,5.493183641,1.51563753,0.200481155,0.15224359,0.184442662,0.056134723,0.706260032,1.467522053,2.413793103,,0.096230954,0.080192462,0.048115477,0.024057739,0.088211708,0.080192462,0.537289495,0.890136327,3.801122694,5.180433039,6.214915798,89.86297549,0.924653952,0.778215543,0.901293539,0.262543147,0.048115477,0.041143654,0.05090478,0.023709076,0.277874625,0.526132283,0.550538684,0.021268436,0.056832049,0.022663087,0.04358286,0.02301175,0.054740072,0.026498379,0.065897284,0.264983787,1.788989226,1.000662459,0.845507479
6,AL-RandVarUncertainty-BOLE-b0.2-,0.212977813,66.0642911,,,,4.838281225,4.137466132,4.838278535,0.700812927,8.235356502,,2.472757618,,,,,,,,,,,,,,,,,,,,,,4.299594753,12.45916333,15.95116072,,,,10.02301587,6.578659523,,4.877252252,,9.445252763,,,,,0.909090909,,16.46825397,,3.445252564,8.219215023,19.52817406,20.8860968,97.93103448,2.766639936,1.51563753,2.325581395,1.130713713,0.224538893,0.144230769,0.128307939,0.024057739,0.224719101,0.352846832,1.547714515,,,,0.024057739,0.008019246,0.040096231,0.088211708,0.33680834,0.328789094,1.724137931,2.558139535,2.69446672,95.12673896,0.443847844,0.301942052,0.395035041,0.214079007,0.060667341,0.044281729,0.084027754,0.014992504,0.057178718,0.113315435,0.452215753,0.012551864,0.00732192,0.003835292,0.009762561,0.015341167,0.010111223,0.024406401,0.049510129,0.135281197,0.859105331,0.47731948,0.386318469
7,AL-SelSampling-BOLE-b0.2-,0.213328655,70.3342568,,,,5.009017369,4.130042566,5.009021652,0.87897828,8.288506449,,3.342790714,,,,,,,,,,,,,,,,,,,,4.584494157,5.430430038,4.328861465,22.21698102,16.83029461,,,,8.523261024,4.016670827,,2.625,13.77511726,,,,,,,,15.87936508,,1.981034838,5.66471692,20.81822468,22.17335134,97.57818765,3.761026464,2.221331195,3.271852446,1.138732959,0.1042502,0.15224359,0.200481155,0.048115477,0.024077047,1.395348837,1.202886929,0.457097033,,0.008019246,0.024057739,0.184442662,0.112269447,0.080192462,0.224538893,0.1042502,1.443464314,3.047313553,3.43223737,94.01624769,0.522994317,0.414560162,0.571109794,0.196645863,0.051602106,0.05264993,0.097974269,0.019873784,0.032773168,0.353544158,0.386318469,0.154457655,0.016387155,0.006275932,0.010808549,0.081587113,0.02789303,0.02057111,0.04846414,0.056483386,0.936857153,0.582964332,0.461978313
8,AL-FixedUncertainty-DACC-b0.2-,0.017943063,49.79001148,,2.855286123,2.18107944,4.133587276,4.168104835,4.133587276,-0.03451611,1.139845166,0.460475825,,,0.15910899,,,0.158730159,7.983744101,,,,0.153609831,,,,,,0.157604413,0.46728972,0.157977883,,,,5.105467781,5.357142857,,,10,,,7.692307692,4.161968221,,,,1.818181818,,,,0.294117647,,4.545454545,8.108108108,5.263157895,,,,0.641539695,0.240577386,,,0.080192462,,,0.080192462,97.6744186,,,,0.080192462,,,,0.008019246,,0.080192462,0.240577386,0.080192462,,,,0.518461699,0.184791325,0.104598863,0.083679091,0.031379659,0.006973258,0.041841004,0.041839545,97.78947735,0.08716268,0.05578606,0.073219204,0.188277954,0.108085492,0.031379659,0.083679091,0.105644852,0.052299432,0.073219204,0.118545378,0.062759318,0.097625606,0.045326174,0.04846414
9,AL-VarUncertainty-DACC-b0.2-,0.213378776,51.23773128,8.757286713,9.956966843,10.01645272,9.898411303,3.917447728,9.898757017,5.98124599,16.68674275,13.77091302,11.69487756,11.86160659,11.47527702,12.47662662,15.19491165,11.45586654,5.091530561,8.592447744,7.767894437,6.428357238,7.750395499,6.092752294,5.111534262,4.501251103,3.242645775,5.909888405,7.033947934,8.097485888,9.020158015,9.532617571,14.93047861,19.56526967,14.32096349,15.85999443,12.29983985,14.81871499,15.74430411,13.77369012,12.64494789,8.671281999,4.953838989,8.457156696,9.014902775,8.052145611,7.336477821,5.686672283,5.301915737,5.427756573,3.987527549,6.396873114,7.3021915,7.868544375,7.97894253,8.909140202,15.44228511,20.14475753,19.99198075,12.25340818,11.1627907,9.903769046,9.037690457,11.48356055,19.11858974,17.01684042,5.268644747,8.772070626,6.944667201,5.396952686,8.25180433,6.583801123,4.939855654,3.849238172,2.742582197,5.533279872,6.792301524,8.364073777,10.37690457,10.25661588,14.46672013,19.05372895,5.199260835,2.857640947,3.474774241,2.471671141,2.093023256,3.152609742,5.756624826,7.78285276,4.411980056,4.117565023,3.103448276,2.672152296,4.527038806,4.757504968,3.829015725,2.9294655,2.860081587,3.523935707,3.740455354,4.267284962,5.202050138,4.554583174,3.448973188,3.284752972
